Id,Average_TotalSteps
1503960366,12116.74194
1624580081,5743.903226
1644430081,7282.966667
1844505072,2580.064516
1927972279,916.1290323
2022484408,11370.64516
2026352035,5566.870968
2320127002,4716.870968
2347167796,9519.666667
2873212765,7555.774194
3372868164,6861.65
3977333714,10984.56667
4020332650,2267.225806
4057192912,3838
4319703577,7268.83871
4388161847,10813.93548
4445114986,4796.548387
4558609924,7685.129032
4702921684,8572.064516
5553957443,8612.580645
5577150313,8304.433333
6117666160,7046.714286
6290855005,5649.551724
6775888955,2519.692308
6962181067,9794.806452
7007744171,11323.42308
7086361926,9371.774194
8053475328,14763.29032
8253242879,6482.157895
8378563200,8717.709677
8583815059,7198.516129
8792009665,1853.724138
8877689391,16040.03226
